pdf,txt,html,xhtml
1.283560,18.48415,17.7466863,8.3370190pdf,txt,html,xhtml
15.817340,18.49845,1.1617900,1.5570042
15.184244,18.49845,0.8748107,1.7934783
16.203390,18.73041,17.9448995,1.0600932
16.807314,18.73041,17.9448995,1.1904762
15.409413,18.48415,17.9448995,1.1901483
15.126582,18.48415,1.0731308,1.0068713
0.000000,18.71574,0.9535724,0.8312840
15.203562,18.71574,1.2636003,0.4826848
15.242347,18.71574,1.6452215,23.9871383
15.657216,18.71574,1.7764344,19.4009530
15.529565,18.70110,1.7769055,0.1261473
15.661861,18.70110,18.7987520,0.6615580
15.657216,18.71574,18.7987520,1.2153230
15.242347,18.71574,18.6388244,1.2694764
15.806878,18.71574,18.6388244,3.5011535
15.631131,18.16109,18.3269962,15.2214598
15.723684,18.16109,18.3269962,2.6142445
15.806878,18.59922,18.1339353,0.8305969
15.975936,18.59922,18.1339353,0.7263782
15.620915,18.01055,1.3553756,1.2156974
17.809240,18.01055,1.2189003,1.2694764
15.943963,18.71574,1.2827315,0.8305969
15.559896,18.71574,18.2161754,0.7059212
15.933333,18.48415,18.2161754,2.8171008
15.734036,18.48415,18.2161754,1.3978877
15.519481,18.48415,1.9148582,0.7413103
15.570033,18.52713,18.7840998,0.8759824
15.986622,18.52713,18.7840998,1.0371527
17.407138,18.52713,1.3207727,0.7263676
15.559896,18.10606,1.9599820,1.4478789
15.651604,18.10606,18.6532508,1.2163604
16.214383,18.10606,18.6532508,1.2692170
15.817340,18.20259,18.8871473,1.2573489
1.282188,18.20259,18.8871473,1.3304632
17.902622,18.46986,1.0584350,0.8308932
17.902622,18.46986,18.9614477,18.3819155
17.902622,17.80924,18.9614477,2.6651167
17.902622,17.80924,18.9614477,17.9148936
17.875841,18.02413,1.3358839,1.1463294
17.875841,18.02413,18.6244204,2.8169014
17.875841,17.99699,18.6244204,2.8167021
1.280273,17.99699,18.6821705,10.4721030
1.282394,18.81890,18.6821705,15.2119701
1.278977,18.81890,18.6821705,2.9455860
1.216175,18.81890,1.0337388,1.8853695
1.283285,18.48415,17.7466863,7.1390038
1.283560,18.48415,17.7466863,8.3370190pdf,txt,html,xhtml
15.817340,18.49845,1.1617900,1.5570042
15.184244,18.49845,0.8748107,1.7934783
16.203390,18.73041,17.9448995,1.0600932
16.807314,18.73041,17.9448995,1.1904762
15.409413,18.48415,17.9448995,1.1901483
15.126582,18.48415,1.0731308,1.0068713
0.000000,18.71574,0.9535724,0.8312840
15.203562,18.71574,1.2636003,0.4826848
15.242347,18.71574,1.6452215,23.9871383
15.657216,18.71574,1.7764344,19.4009530
15.529565,18.70110,1.7769055,0.1261473
15.661861,18.70110,18.7987520,0.6615580
15.657216,18.71574,18.7987520,1.2153230
15.242347,18.71574,18.6388244,1.2694764
15.806878,18.71574,18.6388244,3.5011535
15.631131,18.16109,18.3269962,15.2214598
15.723684,18.16109,18.3269962,2.6142445
15.806878,18.59922,18.1339353,0.8305969
15.975936,18.59922,18.1339353,0.7263782
15.620915,18.01055,1.3553756,1.2156974
17.809240,18.01055,1.2189003,1.2694764
15.943963,18.71574,1.2827315,0.8305969
15.559896,18.71574,18.2161754,0.7059212
15.933333,18.48415,18.2161754,2.8171008
15.734036,18.48415,18.2161754,1.3978877
15.519481,18.48415,1.9148582,0.7413103
15.570033,18.52713,18.7840998,0.8759824
15.986622,18.52713,18.7840998,1.0371527
17.407138,18.52713,1.3207727,0.7263676
15.559896,18.10606,1.9599820,1.4478789
15.651604,18.10606,18.6532508,1.2163604
16.214383,18.10606,18.6532508,1.2692170
15.817340,18.20259,18.8871473,1.2573489
1.282188,18.20259,18.8871473,1.3304632
17.902622,18.46986,1.0584350,0.8308932
17.902622,18.46986,18.9614477,18.3819155
17.902622,17.80924,18.9614477,2.6651167
17.902622,17.80924,18.9614477,17.9148936
17.875841,18.02413,1.3358839,1.1463294
17.875841,18.02413,18.6244204,2.8169014
17.875841,17.99699,18.6244204,2.8167021
1.280273,17.99699,18.6821705,10.4721030
1.282394,18.81890,18.6821705,15.2119701
1.278977,18.81890,18.6821705,2.9455860
1.216175,18.81890,1.0337388,1.8853695
1.283285,18.48415,17.7466863,7.1390038
1.283560,18.48415,17.7466863,8.3370190pdf,txt,html,xhtml
15.817340,18.49845,1.1617900,1.5570042
15.184244,18.49845,0.8748107,1.7934783
16.203390,18.73041,17.9448995,1.0600932
16.807314,18.73041,17.9448995,1.1904762
15.409413,18.48415,17.9448995,1.1901483
15.126582,18.48415,1.0731308,1.0068713
0.000000,18.71574,0.9535724,0.8312840
15.203562,18.71574,1.2636003,0.4826848
15.242347,18.71574,1.6452215,23.9871383
15.657216,18.71574,1.7764344,19.4009530
15.529565,18.70110,1.7769055,0.1261473
15.661861,18.70110,18.7987520,0.6615580
15.657216,18.71574,18.7987520,1.2153230
15.242347,18.71574,18.6388244,1.2694764
15.806878,18.71574,18.6388244,3.5011535
15.631131,18.16109,18.3269962,15.2214598
15.723684,18.16109,18.3269962,2.6142445
15.806878,18.59922,18.1339353,0.8305969
15.975936,18.59922,18.1339353,0.7263782
15.620915,18.01055,1.3553756,1.2156974
17.809240,18.01055,1.2189003,1.2694764
15.943963,18.71574,1.2827315,0.8305969
15.559896,18.71574,18.2161754,0.7059212
15.933333,18.48415,18.2161754,2.8171008
15.734036,18.48415,18.2161754,1.3978877
15.519481,18.48415,1.9148582,0.7413103
15.570033,18.52713,18.7840998,0.8759824
15.986622,18.52713,18.7840998,1.0371527
17.407138,18.52713,1.3207727,0.7263676
15.559896,18.10606,1.9599820,1.4478789
15.651604,18.10606,18.6532508,1.2163604
16.214383,18.10606,18.6532508,1.2692170
15.817340,18.20259,18.8871473,1.2573489
1.282188,18.20259,18.8871473,1.3304632
17.902622,18.46986,1.0584350,0.8308932
17.902622,18.46986,18.9614477,18.3819155
17.902622,17.80924,18.9614477,2.6651167
17.902622,17.80924,18.9614477,17.9148936
17.875841,18.02413,1.3358839,1.1463294
17.875841,18.02413,18.6244204,2.8169014
17.875841,17.99699,18.6244204,2.8167021
1.280273,17.99699,18.6821705,10.4721030
1.282394,18.81890,18.6821705,15.2119701
1.278977,18.81890,18.6821705,2.9455860
1.216175,18.81890,1.0337388,1.8853695
1.283285,18.48415,17.7466863,7.1390038
1.283560,18.48415,17.7466863,8.3370190pdf,txt,html,xhtml
15.817340,18.49845,1.1617900,1.5570042
15.184244,18.49845,0.8748107,1.7934783
16.203390,18.73041,17.9448995,1.0600932
16.807314,18.73041,17.9448995,1.1904762
15.409413,18.48415,17.9448995,1.1901483
15.126582,18.48415,1.0731308,1.0068713
0.000000,18.71574,0.9535724,0.8312840
15.203562,18.71574,1.2636003,0.4826848
15.242347,18.71574,1.6452215,23.9871383
15.657216,18.71574,1.7764344,19.4009530
15.529565,18.70110,1.7769055,0.1261473
15.661861,18.70110,18.7987520,0.6615580
15.657216,18.71574,18.7987520,1.2153230
15.242347,18.71574,18.6388244,1.2694764
15.806878,18.71574,18.6388244,3.5011535
15.631131,18.16109,18.3269962,15.2214598
15.723684,18.16109,18.3269962,2.6142445
15.806878,18.59922,18.1339353,0.8305969
15.975936,18.59922,18.1339353,0.7263782
15.620915,18.01055,1.3553756,1.2156974
17.809240,18.01055,1.2189003,1.2694764
15.943963,18.71574,1.2827315,0.8305969
15.559896,18.71574,18.2161754,0.7059212
15.933333,18.48415,18.2161754,2.8171008
15.734036,18.48415,18.2161754,1.3978877
15.519481,18.48415,1.9148582,0.7413103
15.570033,18.52713,18.7840998,0.8759824
15.986622,18.52713,18.7840998,1.0371527
17.407138,18.52713,1.3207727,0.7263676
15.559896,18.10606,1.9599820,1.4478789
15.651604,18.10606,18.6532508,1.2163604
16.214383,18.10606,18.6532508,1.2692170
15.817340,18.20259,18.8871473,1.2573489
1.282188,18.20259,18.8871473,1.3304632
17.902622,18.46986,1.0584350,0.8308932
17.902622,18.46986,18.9614477,18.3819155
17.902622,17.80924,18.9614477,2.6651167
17.902622,17.80924,18.9614477,17.9148936
17.875841,18.02413,1.3358839,1.1463294
17.875841,18.02413,18.6244204,2.8169014
17.875841,17.99699,18.6244204,2.8167021
1.280273,17.99699,18.6821705,10.4721030
1.282394,18.81890,18.6821705,15.2119701
1.278977,18.81890,18.6821705,2.9455860
1.216175,18.81890,1.0337388,1.8853695
1.283285,18.48415,17.7466863,7.1390038
1.283560,18.48415,17.7466863,8.3370190pdf,txt,html,xhtml
15.817340,18.49845,1.1617900,1.5570042
15.184244,18.49845,0.8748107,1.7934783
16.203390,18.73041,17.9448995,1.0600932
16.807314,18.73041,17.9448995,1.1904762
15.409413,18.48415,17.9448995,1.1901483
15.126582,18.48415,1.0731308,1.0068713
0.000000,18.71574,0.9535724,0.8312840
15.203562,18.71574,1.2636003,0.4826848
15.242347,18.71574,1.6452215,23.9871383
15.657216,18.71574,1.7764344,19.4009530
15.529565,18.70110,1.7769055,0.1261473
15.661861,18.70110,18.7987520,0.6615580
15.657216,18.71574,18.7987520,1.2153230
15.242347,18.71574,18.6388244,1.2694764
15.806878,18.71574,18.6388244,3.5011535
15.631131,18.16109,18.3269962,15.2214598
15.723684,18.16109,18.3269962,2.6142445
15.806878,18.59922,18.1339353,0.8305969
15.975936,18.59922,18.1339353,0.7263782
15.620915,18.01055,1.3553756,1.2156974
17.809240,18.01055,1.2189003,1.2694764
15.943963,18.71574,1.2827315,0.8305969
15.559896,18.71574,18.2161754,0.7059212
15.933333,18.48415,18.2161754,2.8171008
15.734036,18.48415,18.2161754,1.3978877
15.519481,18.48415,1.9148582,0.7413103
15.570033,18.52713,18.7840998,0.8759824
15.986622,18.52713,18.7840998,1.0371527
17.407138,18.52713,1.3207727,0.7263676
15.559896,18.10606,1.9599820,1.4478789
15.651604,18.10606,18.6532508,1.2163604
16.214383,18.10606,18.6532508,1.2692170
15.817340,18.20259,18.8871473,1.2573489
1.282188,18.20259,18.8871473,1.3304632
17.902622,18.46986,1.0584350,0.8308932
17.902622,18.46986,18.9614477,18.3819155
17.902622,17.80924,18.9614477,2.6651167
17.902622,17.80924,18.9614477,17.9148936
17.875841,18.02413,1.3358839,1.1463294
17.875841,18.02413,18.6244204,2.8169014
17.875841,17.99699,18.6244204,2.8167021
1.280273,17.99699,18.6821705,10.4721030
1.282394,18.81890,18.6821705,15.2119701
1.278977,18.81890,18.6821705,2.9455860
1.216175,18.81890,1.0337388,1.8853695
1.283285,18.48415,17.7466863,7.1390038
1.283560,18.48415,17.7466863,8.3370190pdf,txt,html,xhtml
15.817340,18.49845,1.1617900,1.5570042
15.184244,18.49845,0.8748107,1.7934783
16.203390,18.73041,17.9448995,1.0600932
16.807314,18.73041,17.9448995,1.1904762
15.409413,18.48415,17.9448995,1.1901483
15.126582,18.48415,1.0731308,1.0068713
0.000000,18.71574,0.9535724,0.8312840
15.203562,18.71574,1.2636003,0.4826848
15.242347,18.71574,1.6452215,23.9871383
15.657216,18.71574,1.7764344,19.4009530
15.529565,18.70110,1.7769055,0.1261473
15.661861,18.70110,18.7987520,0.6615580
15.657216,18.71574,18.7987520,1.2153230
15.242347,18.71574,18.6388244,1.2694764
15.806878,18.71574,18.6388244,3.5011535
15.631131,18.16109,18.3269962,15.2214598
15.723684,18.16109,18.3269962,2.6142445
15.806878,18.59922,18.1339353,0.8305969
15.975936,18.59922,18.1339353,0.7263782
15.620915,18.01055,1.3553756,1.2156974
17.809240,18.01055,1.2189003,1.2694764
15.943963,18.71574,1.2827315,0.8305969
15.559896,18.71574,18.2161754,0.7059212
15.933333,18.48415,18.2161754,2.8171008
15.734036,18.48415,18.2161754,1.3978877
15.519481,18.48415,1.9148582,0.7413103
15.570033,18.52713,18.7840998,0.8759824
15.986622,18.52713,18.7840998,1.0371527
17.407138,18.52713,1.3207727,0.7263676
15.559896,18.10606,1.9599820,1.4478789
15.651604,18.10606,18.6532508,1.2163604
16.214383,18.10606,18.6532508,1.2692170
15.817340,18.20259,18.8871473,1.2573489
1.282188,18.20259,18.8871473,1.3304632
17.902622,18.46986,1.0584350,0.8308932
17.902622,18.46986,18.9614477,18.3819155
17.902622,17.80924,18.9614477,2.6651167
17.902622,17.80924,18.9614477,17.9148936
17.875841,18.02413,1.3358839,1.1463294
17.875841,18.02413,18.6244204,2.8169014
17.875841,17.99699,18.6244204,2.8167021
1.280273,17.99699,18.6821705,10.4721030
1.282394,18.81890,18.6821705,15.2119701
1.278977,18.81890,18.6821705,2.9455860
1.216175,18.81890,1.0337388,1.8853695
1.283285,18.48415,17.7466863,7.1390038
1.283560,18.48415,17.7466863,8.3370190pdf,txt,html,xhtml
15.817340,18.49845,1.1617900,1.5570042
15.184244,18.49845,0.8748107,1.7934783
16.203390,18.73041,17.9448995,1.0600932
16.807314,18.73041,17.9448995,1.1904762
15.409413,18.48415,17.9448995,1.1901483
15.126582,18.48415,1.0731308,1.0068713
0.000000,18.71574,0.9535724,0.8312840
15.203562,18.71574,1.2636003,0.4826848
15.242347,18.71574,1.6452215,23.9871383
15.657216,18.71574,1.7764344,19.4009530
15.529565,18.70110,1.7769055,0.1261473
15.661861,18.70110,18.7987520,0.6615580
15.657216,18.71574,18.7987520,1.2153230
15.242347,18.71574,18.6388244,1.2694764
15.806878,18.71574,18.6388244,3.5011535
15.631131,18.16109,18.3269962,15.2214598
15.723684,18.16109,18.3269962,2.6142445
15.806878,18.59922,18.1339353,0.8305969
15.975936,18.59922,18.1339353,0.7263782
15.620915,18.01055,1.3553756,1.2156974
17.809240,18.01055,1.2189003,1.2694764
15.943963,18.71574,1.2827315,0.8305969
15.559896,18.71574,18.2161754,0.7059212
15.933333,18.48415,18.2161754,2.8171008
15.734036,18.48415,18.2161754,1.3978877
15.519481,18.48415,1.9148582,0.7413103
15.570033,18.52713,18.7840998,0.8759824
15.986622,18.52713,18.7840998,1.0371527
17.407138,18.52713,1.3207727,0.7263676
15.559896,18.10606,1.9599820,1.4478789
15.651604,18.10606,18.6532508,1.2163604
16.214383,18.10606,18.6532508,1.2692170
15.817340,18.20259,18.8871473,1.2573489
1.282188,18.20259,18.8871473,1.3304632
17.902622,18.46986,1.0584350,0.8308932
17.902622,18.46986,18.9614477,18.3819155
17.902622,17.80924,18.9614477,2.6651167
17.902622,17.80924,18.9614477,17.9148936
17.875841,18.02413,1.3358839,1.1463294
17.875841,18.02413,18.6244204,2.8169014
17.875841,17.99699,18.6244204,2.8167021
1.280273,17.99699,18.6821705,10.4721030
1.282394,18.81890,18.6821705,15.2119701
1.278977,18.81890,18.6821705,2.9455860
1.216175,18.81890,1.0337388,1.8853695
1.283285,18.48415,17.7466863,7.1390038
1.283560,18.48415,17.7466863,8.3370190
